date,Oil_USD,Gold_USD,rupees_per_dollar,Kalyan,Silver_USD,Nifty50,US10Y_yield,GOLDBEES,Gold_INR_PM,Silver_INR_PM,ibja_source,MCX_Gold_close,forex_reserves_usd_bn,parity_actual,parity_pre,parity_post,domestic_premium,premium_pct,silver_parity_pre,silver_premium,post_hike,days_since_hike,delta_Gold_USD,delta_FX,delta_Oil,t,pre_restriction,lag1_premium,lag_break
2022-01-03,78.9800033569336,1799.4000244140625,74.51380157470703,,,17625.69921875,1.628000020980835,41.72999954223633,48333.0,,bullionworld,,,47741.81395430708,45694.19665152642,49573.89259363715,2638.803348473579,5.77492010330688,,,0,,,,,0,0,,0
2022-01-04,80.0,1814.0,74.4032974243164,,,17805.25,1.6679999828338623,41.459999084472656,47967.0,,bullionworld,,,48057.80588742064,45996.63588321976,49902.01062802143,1970.3641167802416,4.2837135345784265,,,0,,0.8113802038371976,-0.148300245129529,1.2914618887223115,1,0,2638.803348473579,0
2022-01-05,80.80000305175781,1824.5999755859373,74.53489685058594,,,17925.25,1.7050000429153442,41.560001373291016,48150.0,,bullionworld,,,48424.12617665905,46347.24491851793,50282.38835499586,1802.7550814820715,3.889670431654472,,,0,,0.5843426453107758,0.1768731102319787,1.00000381469727,2,0,1970.3641167802416,0
2022-01-06,81.98999786376953,1788.699951171875,74.43009948730469,,,17745.900390625,1.7330000400543213,41.2400016784668,47832.0,,bullionworld,,,47404.608875340586,45371.454092876775,49223.74736491347,2460.5459071232253,5.423114502978925,,,0,,-1.9675558968772824,-0.1406017418811633,1.472765800824849,3,0,1802.7550814820715,0
2022-01-07,81.75,1797.0,74.41929626464844,,,17812.69921875,1.7710000276565552,41.09000015258789,47583.0,,bullionworld,,632.735839,47617.6664978981,45575.37380385733,49444.98101361879,2007.626196142672,4.405067975488012,,,0,,0.4640268940963032,-0.0145145884939856,-0.2927160263722639,4,0,2460.5459071232253,0
2022-01-10,80.87000274658203,1798.4000244140625,74.2699966430664,,,18003.30078125,1.7799999713897705,41.06999969482422,,,,,632.735839,47559.16018520623,45519.376791258335,49384.229537685926,,,,,0,,0.0779089824186174,-0.2006195020322398,-1.0764492396550085,5,0,2007.626196142672,0
2022-01-11,83.72000122070312,1818.5999755859373,74.05699920654297,,,18055.75,1.746000051498413,41.209999084472656,47705.0,,bullionworld,,632.735839,47955.42722555432,45898.64817976307,49795.703213893896,1806.3518202369305,3.935522922510296,,,0,,1.1232179102341977,-0.2867879980486321,3.524172594691244,6,0,,0
2022-01-12,84.66999816894531,1827.199951171875,73.81529998779297,,,18212.349609375,1.725000023841858,41.33000183105469,47943.0,,bullionworld,,632.735839,48024.95173558494,45965.19082593232,49867.89570737939,1977.8091740676828,4.3028412120761965,,,0,,0.4728898988996644,-0.3263691769037402,1.1347311686460635,7,0,1806.3518202369305,0
2022-01-13,84.47000122070312,1821.199951171875,73.79910278320312,,,18257.80078125,1.7109999656677246,41.41999816894531,48031.0,,bullionworld,,632.735839,47856.74812857628,45804.20136911139,49693.237334413294,2226.79863088861,4.861559779077992,,,0,,-0.3283712872338862,-0.0219428825629974,-0.2362075736001889,8,0,1977.8091740676828,0
2022-01-14,86.05999755859375,1816.5,73.97229766845703,,,18255.75,1.7719999551773071,41.52999877929688,,,,,634.96492,47845.26714890223,45793.21280165812,49681.3157753838,,,,,0,,-0.2580689269649272,0.2346842694858963,1.882320723230824,9,0,2226.79863088861,0
2022-01-17,,,74.37899780273438,,,18308.099609375,,41.52999877929688,,,,,634.96492,,,,,,,,0,,,0.5498005971102504,,10,0,,0
2022-01-18,87.51000213623047,1812.300048828125,74.25509643554688,,,18113.05078125,1.8650000095367432,41.52000045776367,,,,,634.96492,47917.134807075,45861.99809977381,49755.94133466026,,,,,0,,,-0.1665811194661581,,11,0,,0
2022-01-19,88.44000244140625,1843.0999755859373,74.61969757080078,,,17938.400390625,1.8270000219345093,41.59999847412109,,,,,634.96492,48970.76077253445,46870.43468973953,50849.99989924571,,,,,0,,1.699493788444606,0.4910115975276907,1.0627360101397532,12,0,,0
2022-01-20,88.37999725341797,1842.5,74.44920349121094,,,17757.0,1.8329999446868896,42.04999923706055,,,,,634.96492,48842.96561690997,46748.120590451086,50717.30064058372,,,,,0,,-0.0325525253043745,-0.2284840131227761,-0.0678484693937386,13,0,,0
2022-01-21,87.88999938964844,1831.800048828125,74.45220184326172,,,17617.150390625,1.746999979019165,41.84000015258789,,,,,634.28656,48561.275506397,46478.511997093294,50424.800751563474,,,,,0,,-0.5807300500339174,0.0040273796228618,-0.5544216779782452,14,0,,0
2022-01-24,86.2699966430664,1841.699951171875,74.41320037841797,,,17149.099609375,1.7350000143051147,42.040000915527344,48793.0,,bullionworld,,634.28656,48798.14720533024,46705.22441322804,50670.76233510589,2087.7755867719607,4.4701114554127965,,,0,,0.5404466688426757,-0.052384568727537,-1.8432162451156309,15,0,,1
2022-01-25,88.19999694824219,1852.699951171875,74.6447982788086,,,17277.94921875,1.7829999923706057,42.060001373291016,48861.0,,bullionworld,,634.28656,49242.38868454332,47130.41264615433,51132.05145573347,1730.5873538456726,3.671912161768188,,,0,,0.5972742733147518,0.3112322803116463,2.237162837922635,16,0,2087.7755867719607,0
2022-01-26,89.95999908447266,1829.9000244140625,74.77999877929688,,,,1.8480000495910645,,,,,,634.28656,48724.48861480226,46634.72499475432,50594.27711695043,,,,,0,,-1.2306324477091457,0.1811251468364805,1.995467343681745,17,0,1730.5873538456726,0
2022-01-27,89.33999633789062,1793.300048828125,74.8949966430664,,,17110.150390625,1.807000041007996,41.81999969482422,48528.0,,bullionworld,,634.28656,47823.37687373448,45772.26138705061,49658.585467083205,2755.73861294939,6.020542855959949,,,0,,-2.000107934730311,0.1537815801641473,-0.6891982579944722,18,0,,0
2022-01-28,90.02999877929688,1784.9000244140625,75.20929718017578,,,17101.94921875,1.781999945640564,41.43000030517578,,,,,629.7551500000001,47799.11973995344,45749.04462695319,49633.39747263789,,,,,0,,-0.4684115421483281,0.4196549184817488,0.7723331874747386,19,0,2755.73861294939,0
2022-01-31,91.20999908447266,1795.0,75.03900146484375,,,17339.849609375,1.781999945640564,41.25,47834.0,,bullionworld,,629.7551500000001,47960.75070315381,45903.74333665286,49801.23097844413,1930.256663347144,4.205009271664098,,,0,,0.5658566557111833,-0.2264290742194585,1.3106745764470018,20,0,,0
2022-02-01,89.16000366210938,1800.300048828125,74.55580139160156,,,17576.849609375,1.7999999523162842,41.54999923706055,48254.0,,bullionworld,,629.7551500000001,47792.616673665405,45742.82047321475,49626.644853016,2511.1795267852503,5.489778506893122,,,0,,0.2952673441852349,-0.6439319071544047,-2.2475555782702217,21,0,1930.256663347144,0
