date,ibja_am,ibja_pm
2017-09-01,,999.0
2017-09-04,,999.0
2017-09-05,,999.0
2017-09-06,,999.0
2017-09-07,,999.0
2017-09-08,,999.0
2017-09-11,,999.0
2017-09-12,,999.0
2017-09-13,,999.0
2017-09-14,,999.0
2017-09-18,,999.0
2017-09-19,,999.0
2017-09-21,,999.0
2017-09-22,,999.0
2017-09-26,,999.0
2017-10-04,,999.0
2017-10-06,,999.0
2017-10-09,,999.0
2017-10-10,,999.0
2017-10-11,,999.0
2017-10-12,,999.0
2017-10-13,,999.0
2017-10-16,,999.0
2017-10-25,,999.0
2017-10-27,,999.0
2017-10-30,,999.0
2017-11-01,,999.0
2017-11-08,,999.0
2017-11-14,,999.0
2017-11-15,,999.0
2017-11-20,,999.0
2017-11-22,,999.0
2017-11-24,,999.0
2017-12-05,,999.0
2017-12-07,,999.0
2017-12-12,,999.0
2017-12-15,,999.0
2017-12-18,,999.0
2017-12-19,,999.0
2017-12-21,,999.0
2017-12-26,,999.0
2017-12-28,,999.0
2018-01-01,,999.0
2018-01-03,,999.0
2018-01-04,,999.0
2018-01-05,,999.0
2018-01-09,,999.0
2018-01-10,,999.0
2018-01-12,,999.0
2018-01-15,,999.0
2018-01-22,,999.0
2018-01-23,,999.0
2018-01-24,,999.0
2018-01-25,,999.0
2018-01-30,,999.0
2018-02-01,,999.0
2018-02-02,,999.0
2018-02-05,,999.0
2018-02-06,,999.0
2018-02-08,,999.0
2018-02-09,,999.0
2018-02-12,,999.0
2018-02-14,,999.0
2018-02-16,,999.0
2018-02-19,,999.0
2018-02-21,,999.0
2018-02-22,,999.0
2018-02-23,,999.0
2018-02-27,,999.0
2018-03-05,,999.0
2018-03-12,,999.0
2018-03-14,,999.0
2018-03-16,,999.0
2018-03-19,,999.0
2018-03-21,,999.0
2018-03-23,,999.0
2018-03-26,,999.0
2018-03-28,,999.0
2018-04-02,,999.0
2018-04-04,,999.0
2018-04-05,,999.0
2018-04-09,,999.0
2018-04-12,,999.0
2018-04-13,,999.0
2018-04-19,,999.0
2018-04-20,,999.0
2018-04-24,,999.0
2018-04-25,,999.0
2018-04-27,,999.0
2018-05-03,,999.0
2018-05-04,,999.0
2018-05-07,,999.0
2018-05-10,,999.0
2018-05-11,,999.0
2018-05-14,,999.0
2018-05-16,,999.0
2018-05-21,,999.0
2018-05-22,,999.0
2018-05-24,,999.0
2018-06-01,,999.0
2018-06-07,,999.0
2018-06-11,,999.0
2018-06-14,,999.0
2018-06-15,,999.0
2018-06-18,,999.0
2018-06-21,,999.0
2018-06-22,,999.0
2018-06-25,,999.0
2018-06-26,,999.0
2018-06-27,,999.0
2018-06-28,,999.0
2018-06-29,,999.0
2018-07-02,,999.0
2018-07-05,,999.0
2018-07-12,,999.0
2018-07-18,,999.0
2018-07-23,,999.0
2018-08-01,,999.0
2018-08-09,,999.0
2018-08-10,,999.0
2018-08-13,,999.0
2018-08-14,,999.0
2018-08-16,,999.0
2018-08-17,,999.0
