date,Oil_USD,Gold_USD,rupees_per_dollar,Kalyan,Silver_USD,Nifty50,US10Y_yield,GOLDBEES,Gold_INR_PM,Silver_INR_PM,ibja_source,forex_reserves_usd_bn,parity_actual,parity_pre,parity_post,domestic_premium,premium_pct,silver_parity_pre,silver_premium,post_hike,days_since_hike,delta_Gold_USD,delta_FX,delta_Oil,MCX_Gold_close,t,pre_restriction,lag1_premium,lag_break
2022-01-03,78.9800033569336,1799.4000244140625,74.51380157470703,67.69950103759766,22.790000915527344,17625.69921875,1.628000020980835,41.72999954223633,,,,,,,,,,57873.22270720066,,0,0.0,,,,,0,0,,0
2022-01-04,80.0,1814.0,74.4032974243164,70.328125,23.038000106811523,17805.25,1.6679999828338623,41.459999084472656,,,,,,,,,,58416.23497191771,,0,0.0,0.8113802038371976,-0.148300245129529,1.2914618887223115,,1,0,,0
2022-01-05,80.80000305175781,1824.5999755859373,74.53489685058594,72.5103759765625,23.14999961853028,17925.25,1.7050000429153442,41.560001373291016,,,,,,,,,,58804.05110928844,,0,0.0,0.5843426453107758,0.1768731102319787,1.00000381469727,,2,0,,0
2022-01-06,81.98999786376953,1788.699951171875,74.43009948730469,71.27046203613281,22.17399978637696,17745.900390625,1.7330000400543213,41.2400016784668,,,,,,,,,,56245.6890941341,,0,0.0,-1.9675558968772824,-0.1406017418811633,1.472765800824849,,3,0,,0
2022-01-07,81.75,1797.0,74.41929626464844,70.9728775024414,22.393999099731445,17812.69921875,1.7710000276565552,41.09000015258789,,,,632.735839,,,,,,56795.48580598246,,0,0.0,0.4640268940963032,-0.0145145884939856,-0.2927160263722639,,4,0,,0
2022-01-10,80.87000274658203,1798.4000244140625,74.2699966430664,70.92327880859375,22.44599914550781,18003.30078125,1.7799999713897705,41.06999969482422,,,,632.735839,49384.229537685926,45519.376791258335,49384.229537685926,,,56813.16051435898,,0,0.0,0.0779089824186174,-0.2006195020322398,-1.0764492396550085,,5,0,,0
2022-01-11,83.72000122070312,1818.5999755859373,74.05699920654297,69.53457641601562,22.80599975585937,18055.75,1.746000051498413,41.209999084472656,,,,632.735839,,,,,,57558.8130009016,,0,0.0,1.1232179102341977,-0.2867879980486321,3.524172594691244,,6,0,,0
2022-01-12,84.66999816894531,1827.199951171875,73.81529998779297,69.28659057617188,23.200000762939453,18212.349609375,1.725000023841858,41.33000183105469,,,,632.735839,,,,,,58362.11091984521,,0,0.0,0.4728898988996644,-0.3263691769037402,1.1347311686460635,,7,0,,0
2022-01-13,84.47000122070312,1821.199951171875,73.79910278320312,69.28659057617188,23.155000686645508,18257.80078125,1.7109999656677246,41.41999816894531,,,,632.735839,,,,,,58236.12687176762,,0,0.0,-0.3283712872338862,-0.0219428825629974,-0.2362075736001889,,8,0,,0
2022-01-14,86.05999755859375,1816.5,73.97229766845703,69.33619689941406,22.910999298095703,18255.75,1.7719999551773071,41.52999877929688,,,,634.96492,49681.3157753838,45793.21280165812,49681.3157753838,,,57757.68050406475,,0,0.0,-0.2580689269649272,0.2346842694858963,1.882320723230824,,9,0,,0
2022-01-17,,,74.37899780273438,69.1377944946289,,18308.099609375,,41.52999877929688,,,,634.96492,,,,,,,,0,0.0,,0.5498005971102504,,,10,0,,0
2022-01-18,87.51000213623047,1812.300048828125,74.25509643554688,68.19547271728516,23.48699951171875,18113.05078125,1.8650000095367432,41.52000045776367,,,,634.96492,49755.94133466026,45861.99809977381,49755.94133466026,,,59436.11421697806,,0,0.0,,-0.1665811194661581,,,11,0,,0
2022-01-19,88.44000244140625,1843.0999755859373,74.61969757080078,67.40191650390625,24.22599983215332,17938.400390625,1.8270000219345093,41.59999847412109,,,,634.96492,50849.99989924571,46870.43468973953,50849.99989924571,,,61607.24637661628,,0,0.0,1.699493788444606,0.4910115975276907,1.0627360101397532,,12,0,,0
2022-01-20,88.37999725341797,1842.5,74.44920349121094,67.35232543945312,24.711000442504883,17757.0,1.8329999446868896,42.04999923706055,,,,634.96492,50717.30064058372,46748.120590451086,50717.30064058372,,,62697.032759669375,,0,0.0,-0.0325525253043745,-0.2284840131227761,-0.0678484693937386,,13,0,,0
2022-01-21,87.88999938964844,1831.800048828125,74.45220184326172,67.25312805175781,24.31399917602539,17617.150390625,1.746999979019165,41.84000015258789,,,,634.28656,50424.800751563474,46478.511997093294,50424.800751563474,,,61692.24108947744,,0,0.0,-0.5807300500339174,0.0040273796228618,-0.5544216779782452,,14,0,,0
2022-01-24,86.2699966430664,1841.699951171875,74.41320037841797,64.57490539550781,23.795000076293945,17149.099609375,1.7350000143051147,42.040000915527344,,,,634.28656,,,,,,60343.75022755111,,0,0.0,0.5404466688426757,-0.052384568727537,-1.8432162451156309,,15,0,,0
2022-01-25,88.19999694824219,1852.699951171875,74.6447982788086,65.7652359008789,23.895999908447266,17277.94921875,1.7829999923706057,42.060001373291016,,,,634.28656,,,,,,60788.4906331012,,0,0.0,0.5972742733147518,0.3112322803116463,2.237162837922635,,16,0,,0
2022-01-26,89.95999908447266,1829.9000244140625,74.77999877929688,,23.80699920654297,,1.8480000495910645,,,,,634.28656,50594.27711695043,46634.72499475432,50594.27711695043,,,60671.77693507949,,0,0.0,-1.2306324477091457,0.1811251468364805,1.995467343681745,,17,0,,0
2022-01-27,89.33999633789062,1793.300048828125,74.8949966430664,65.12047576904297,22.67300033569336,17110.150390625,1.807000041007996,41.81999969482422,,,,634.28656,,,,,,57870.65574844624,,0,0.0,-2.000107934730311,0.1537815801641473,-0.6891982579944722,,18,0,,0
2022-01-28,90.02999877929688,1784.9000244140625,75.20929718017578,65.7652359008789,22.302000045776367,17101.94921875,1.781999945640564,41.43000030517578,,,,629.7551500000001,49633.39747263789,45749.04462695319,49633.39747263789,,,57162.596302808175,,0,0.0,-0.4684115421483281,0.4196549184817488,0.7723331874747386,,19,0,,0
2022-01-31,91.20999908447266,1795.0,75.03900146484375,66.01322174072266,22.395000457763672,17339.849609375,1.781999945640564,41.25,,,,629.7551500000001,,,,,,57270.99459818422,,0,0.0,0.5658566557111833,-0.2264290742194585,1.3106745764470018,,20,0,,0
2022-02-01,89.16000366210938,1800.300048828125,74.55580139160156,66.21160125732422,22.59600067138672,17576.849609375,1.7999999523162842,41.54999923706055,,,,629.7551500000001,,,,,,57412.91862968566,,0,0.0,0.2952673441852349,-0.6439319071544047,-2.2475555782702217,,21,0,,0
2022-02-02,89.47000122070312,1809.199951171875,74.74549865722656,69.18739318847656,22.711000442504883,17780.0,1.7660000324249268,41.5099983215332,,,,629.7551500000001,49998.87003042021,46085.91498456124,49998.87003042021,,,57851.93808620546,,0,0.0,0.4943566129181231,0.2544366261032049,0.3476867943708939,,22,0,,0
2022-02-03,91.11000061035156,1803.0,74.82240295410156,67.20352935791016,22.375,17560.19921875,1.8270000219345093,41.560001373291016,,,,629.7551500000001,49878.79544269355,45975.237538482754,49878.79544269355,,,57054.6833013617,,0,0.0,-0.3426902133099818,0.1028881982949592,1.83301594643206,,23,0,,0
2022-02-04,93.2699966430664,1806.5999755859373,74.6438980102539,66.310791015625,22.475000381469727,17516.30078125,1.9299999475479128,41.59999847412109,,,,631.95295,49859.152176253,45957.13157115494,49859.152176253,,,57172.95270404084,,0,0.0,0.1996658672178242,-0.2385715197588012,2.37075624875962,,24,0,,0
2022-02-07,92.69000244140624,1820.5999755859373,74.64219665527344,65.2692642211914,23.076000213623047,17213.599609375,1.9160000085830688,41.630001068115234,,,,631.95295,,,,,,58700.46608002721,,0,0.0,0.7749363549869104,-0.0022792954626149,-0.6218443470945245,,25,0,,0
2022-02-08,90.77999877929688,1826.5999755859373,74.6583023071289,64.47571563720703,23.19499969482422,17266.75,1.9539999961853027,41.81999969482422,,,,631.95295,50420.84689736286,46474.86757496055,50420.84689736286,,,59015.90680096279,,0,0.0,0.3295616873810525,0.0215771407825027,-2.060636111555592,,26,0,,0
2022-02-09,91.5500030517578,1835.199951171875,74.69519805908203,64.32691955566406,23.336000442504883,17463.80078125,1.9290000200271609,41.9900016784668,,,,631.95295,,,,,,59404.00294041866,,0,0.0,0.4708187726313095,0.0494194896119459,0.848209168115277,,27,0,,0
2022-02-10,91.41000366210938,1836.199951171875,74.80889892578125,64.32691955566406,23.518999099731445,17605.849609375,2.0309998989105225,42.16999816894531,,,,631.95295,,,,,,59960.97712722333,,0,0.0,0.0544899752946026,0.1522197807271252,-0.1529212288166603,,28,0,,0
2022-02-11,94.44000244140624,1840.800048828125,75.53839874267578,63.78136444091797,23.36599922180176,17374.75,1.955000042915344,42.18999862670898,,,,630.18975,,,,,,60151.81494724915,,0,0.0,0.2505226978856134,0.9751511215507548,3.314734337498826,,29,0,,0
